"sequencingBatch","sex_ge","age_batch","climb_geno"
"100930","23-model-ad-002","Female",4,"WT/VS"
"100934","23-model-ad-002","Female",4,"WT/VS"
"100935","23-model-ad-002","Female",4,"WT/WT"
"78884","23-model-ad-002","Male",12,"WT/WT"
"78885","23-model-ad-002","Female",12,"WT/WT"
"78886","23-model-ad-002","Female",12,"VS/VS"
"78888","23-model-ad-002-run3","Male",12,"VS/VS"
"78925","23-model-ad-002-run3","Male",12,"WT/VS"
"78926","23-model-ad-002","Male",12,"WT/WT"
"78927","23-model-ad-002","Male",12,"WT/VS"
"78928","23-model-ad-002","Male",12,"WT/VS"
"78929","23-model-ad-002-run3","Female",12,"WT/VS"
"78930","23-model-ad-002-run3","Female",12,"WT/VS"
"78931","23-model-ad-002","Female",12,"WT/WT"
"78933","23-model-ad-002-run2","Male",12,"VS/VS"
"78934","23-model-ad-002","Male",12,"VS/VS"
"78936","23-model-ad-002","Male",12,"VS/VS"
"79851","23-model-ad-002","Female",12,"FC/FC"
"80956","23-model-ad-002-run3","Female",12,"WT/FC"
"80957","23-model-ad-002","Male",12,"WT/FC"
"80958","23-model-ad-002-run3","Male",12,"WT/WT"
"80959","23-model-ad-002-run3","Male",12,"WT/WT"
"80960","23-model-ad-002","Male",12,"WT/FC"
"80961","23-model-ad-002-run2","Female",12,"WT/WT"
"80962","23-model-ad-002","Male",12,"WT/FC"
"80963","23-model-ad-002","Male",12,"WT/WT"
"80964","23-model-ad-002","Male",12,"FC/FC"
"80968","23-model-ad-002","Female",12,"WT/WT"
"80969","23-model-ad-002","Female",12,"FC/FC"
"80972","23-model-ad-002","Male",12,"WT/FC"
"80973","23-model-ad-002","Male",12,"WT/FC"
"81125","23-model-ad-002","Female",12,"WT/VS"
"81126","23-model-ad-002-run3","Female",12,"WT/VS"
"81128","23-model-ad-002","Female",12,"WT/VS"
"81130","23-model-ad-002-run3","Female",12,"WT/WT"
"81131","23-model-ad-002","Male",12,"VS/VS"
"81132","23-model-ad-002","Male",12,"VS/VS"
"81329","23-model-ad-002","Male",12,"WT/WT"
"81330","23-model-ad-002-run2","Male",12,"WT/VS"
"81331","23-model-ad-002","Male",12,"WT/WT"
"81332","23-model-ad-002","Male",12,"WT/VS"
"81333","23-model-ad-002-run3","Male",12,"WT/VS"
"81398","23-model-ad-002","Female",12,"WT/FC"
"81649","23-model-ad-002","Male",12,"VS/VS"
